"species"	"dataset"	"description"	"version"	"genes_considered"	"intergenic_distance"	"comment"	"rank_name"	"distance"	"pretty.names"
"Reedfish"	"ecalabaricus_gene_ensembl"	"Reedfish genes (fErpCal1.1)"	"fErpCal1.1"	"Hoxb1_Hoxb9"	105871	""	"Actinopterygii"	105.871	"Actinopterygii"
"Reedfish"	"ecalabaricus_gene_ensembl"	"Reedfish genes (fErpCal1.1)"	"fErpCal1.1"	"Hoxb9_Hoxb13"	54131	""	"Actinopterygii"	54.131	"Actinopterygii"
"Ryukyu mouse"	"mcaroli_gene_ensembl"	"Ryukyu mouse genes (CAROLI_EIJ_v1.1)"	"CAROLI_EIJ_v1.1"	"Hoxb1_Hoxb9"	89521	"multiple_extremities_this_is_average"	"Muridae"	89.521	"Muridae"
"Ryukyu mouse"	"mcaroli_gene_ensembl"	"Ryukyu mouse genes (CAROLI_EIJ_v1.1)"	"CAROLI_EIJ_v1.1"	"Hoxb9_Hoxb13"	75002	"multiple_extremities_this_is_average"	"Muridae"	75.002	"Muridae"
"Sheep"	"oarambouillet_gene_ensembl"	"Sheep genes (ARS-UI_Ramb_v2.0)"	"ARS-UI_Ramb_v2.0"	"Hoxb1_Hoxb9"	86444	""	"Eutheria"	86.444	"Other Placentalia"
"Sheep"	"oarambouillet_gene_ensembl"	"Sheep genes (ARS-UI_Ramb_v2.0)"	"ARS-UI_Ramb_v2.0"	"Hoxb9_Hoxb13"	71352	""	"Eutheria"	71.352	"Other Placentalia"
"Sheepshead minnow"	"cvariegatus_gene_ensembl"	"Sheepshead minnow genes (C_variegatus-1.0)"	"C_variegatus-1.0"	"Hoxb1_Hoxb9"	169223	"ignored_JPKM01106883.1_and_KL652947.1_genes__multiple_extremities_this_is_average"	"Actinopterygii"	169.223	"Actinopterygii"
"Sheepshead minnow"	"cvariegatus_gene_ensembl"	"Sheepshead minnow genes (C_variegatus-1.0)"	"C_variegatus-1.0"	"Hoxb9_Hoxb13"	52335	"ignored_JPKM01106883.1_genes__"	"Actinopterygii"	52.335	"Actinopterygii"
"Shrew mouse"	"mpahari_gene_ensembl"	"Shrew mouse genes (PAHARI_EIJ_v1.1)"	"PAHARI_EIJ_v1.1"	"Hoxb1_Hoxb9"	90573	"multiple_extremities_this_is_average"	"Muridae"	90.573	"Muridae"
"Shrew mouse"	"mpahari_gene_ensembl"	"Shrew mouse genes (PAHARI_EIJ_v1.1)"	"PAHARI_EIJ_v1.1"	"Hoxb9_Hoxb13"	72895	"multiple_extremities_this_is_average"	"Muridae"	72.895	"Muridae"
"Siamese fighting fish"	"bsplendens_gene_ensembl"	"Siamese fighting fish genes (fBetSpl5.2)"	"fBetSpl5.2"	"Hoxb1_Hoxb9"	107098	""	"Actinopterygii"	107.098	"Actinopterygii"
"Siamese fighting fish"	"bsplendens_gene_ensembl"	"Siamese fighting fish genes (fBetSpl5.2)"	"fBetSpl5.2"	"Hoxb9_Hoxb13"	22677	""	"Actinopterygii"	22.677	"Actinopterygii"
"Siberian musk deer"	"mmoschiferus_gene_ensembl"	"Siberian musk deer genes (MosMos_v2_BIUU_UCD)"	"MosMos_v2_BIUU_UCD"	"Hoxb1_Hoxb9"	87240	""	"Eutheria"	87.24	"Other Placentalia"
"Siberian musk deer"	"mmoschiferus_gene_ensembl"	"Siberian musk deer genes (MosMos_v2_BIUU_UCD)"	"MosMos_v2_BIUU_UCD"	"Hoxb9_Hoxb13"	72949	""	"Eutheria"	72.949	"Other Placentalia"
"Sooty mangabey"	"catys_gene_ensembl"	"Sooty mangabey genes (Caty_1.0)"	"Caty_1.0"	"Hoxb1_Hoxb9"	88535	""	"Primates"	88.535	"Other Primates"
"Sooty mangabey"	"catys_gene_ensembl"	"Sooty mangabey genes (Caty_1.0)"	"Caty_1.0"	"Hoxb9_Hoxb13"	98147	""	"Primates"	98.147	"Other Primates"
"Sperm whale"	"pcatodon_gene_ensembl"	"Sperm whale genes (ASM283717v2)"	"ASM283717v2"	"Hoxb1_Hoxb9"	89068	""	"Eutheria"	89.068	"Other Placentalia"
"Sperm whale"	"pcatodon_gene_ensembl"	"Sperm whale genes (ASM283717v2)"	"ASM283717v2"	"Hoxb9_Hoxb13"	77361	""	"Eutheria"	77.361	"Other Placentalia"
"Spiny chromis"	"apolyacanthus_gene_ensembl"	"Spiny chromis genes (ASM210954v1)"	"ASM210954v1"	"Hoxb1_Hoxb9"	150977	"ignored_MVNR01000196.1_genes__"	"Actinopterygii"	150.977	"Actinopterygii"
"Spiny chromis"	"apolyacanthus_gene_ensembl"	"Spiny chromis genes (ASM210954v1)"	"ASM210954v1"	"Hoxb9_Hoxb13"	50733	""	"Actinopterygii"	50.733	"Actinopterygii"
"Spotted gar"	"loculatus_gene_ensembl"	"Spotted gar genes (LepOcu1)"	"LepOcu1"	"Hoxb1_Hoxb9"	94394	""	"Actinopterygii"	94.394	"Actinopterygii"
"Spotted gar"	"loculatus_gene_ensembl"	"Spotted gar genes (LepOcu1)"	"LepOcu1"	"Hoxb9_Hoxb13"	38768	""	"Actinopterygii"	38.768	"Actinopterygii"
"Squirrel"	"itridecemlineatus_gene_ensembl"	"Squirrel genes (SpeTri2.0)"	"SpeTri2.0"	"Hoxb1_Hoxb9"	87326	""	"Eutheria"	87.326	"Other Placentalia"
"Squirrel"	"itridecemlineatus_gene_ensembl"	"Squirrel genes (SpeTri2.0)"	"SpeTri2.0"	"Hoxb9_Hoxb13"	70614	""	"Eutheria"	70.614	"Other Placentalia"
"Steppe mouse"	"mspicilegus_gene_ensembl"	"Steppe mouse genes (MUSP714)"	"MUSP714"	"Hoxb1_Hoxb9"	90269	""	"Muridae"	90.269	"Muridae"
"Steppe mouse"	"mspicilegus_gene_ensembl"	"Steppe mouse genes (MUSP714)"	"MUSP714"	"Hoxb9_Hoxb13"	86774	""	"Muridae"	86.774	"Muridae"
"Sumatran orangutan"	"pabelii_gene_ensembl"	"Sumatran orangutan genes (Susie_PABv2)"	"Susie_PABv2"	"Hoxb1_Hoxb9"	91754	""	"Hominidae"	91.754	"Hominidae"
"Sumatran orangutan"	"pabelii_gene_ensembl"	"Sumatran orangutan genes (Susie_PABv2)"	"Susie_PABv2"	"Hoxb9_Hoxb13"	100229	""	"Hominidae"	100.229	"Hominidae"
"Tasmanian devil"	"sharrisii_gene_ensembl"	"Tasmanian devil genes (mSarHar1.11)"	"mSarHar1.11"	"Hoxb1_Hoxb9"	99456	""	"Metatheria"	99.456	"Marsupialia"
"Tasmanian devil"	"sharrisii_gene_ensembl"	"Tasmanian devil genes (mSarHar1.11)"	"mSarHar1.11"	"Hoxb9_Hoxb13"	94294	""	"Metatheria"	94.294	"Marsupialia"
"Tetraodon"	"tnigroviridis_gene_ensembl"	"Tetraodon genes (TETRAODON 8.0)"	"TETRAODON 8.0"	"Hoxb1_Hoxb9"	108295	"ignored_2_genes__"	"Actinopterygii"	108.295	"Actinopterygii"
"Tetraodon"	"tnigroviridis_gene_ensembl"	"Tetraodon genes (TETRAODON 8.0)"	"TETRAODON 8.0"	"Hoxb9_Hoxb13"	29912	""	"Actinopterygii"	29.912	"Actinopterygii"
"Three-toed box turtle"	"tctriunguis_gene_ensembl"	"Three-toed box turtle genes (T_m_triunguis-2.0)"	"T_m_triunguis-2.0"	"Hoxb1_Hoxb9"	92108	""	"Testudines"	92.108	"Reptilia"
"Three-toed box turtle"	"tctriunguis_gene_ensembl"	"Three-toed box turtle genes (T_m_triunguis-2.0)"	"T_m_triunguis-2.0"	"Hoxb9_Hoxb13"	64024	""	"Testudines"	64.024	"Reptilia"
"Tiger tail seahorse"	"hcomes_gene_ensembl"	"Tiger tail seahorse genes (H_comes_QL1_v1)"	"H_comes_QL1_v1"	"Hoxb1_Hoxb9"	134693	"ignored_KV880261.1_genes__"	"Actinopterygii"	134.693	"Actinopterygii"
"Tiger tail seahorse"	"hcomes_gene_ensembl"	"Tiger tail seahorse genes (H_comes_QL1_v1)"	"H_comes_QL1_v1"	"Hoxb9_Hoxb13"	41486	""	"Actinopterygii"	41.486	"Actinopterygii"
"Turbot"	"smaximus_gene_ensembl"	"Turbot genes (ASM1334776v1)"	"ASM1334776v1"	"Hoxb1_Hoxb9"	141982	"ignored_18_genes__"	"Actinopterygii"	141.982	"Actinopterygii"
"Turbot"	"smaximus_gene_ensembl"	"Turbot genes (ASM1334776v1)"	"ASM1334776v1"	"Hoxb9_Hoxb13"	51589	""	"Actinopterygii"	51.589	"Actinopterygii"
"Upper Galilee mountains blind mole rat"	"ngalili_gene_ensembl"	"Upper Galilee mountains blind mole rat genes (S.galili_v1.0)"	"S.galili_v1.0"	"Hoxb1_Hoxb9"	90307	""	"Eutheria"	90.307	"Other Placentalia"
"Upper Galilee mountains blind mole rat"	"ngalili_gene_ensembl"	"Upper Galilee mountains blind mole rat genes (S.galili_v1.0)"	"S.galili_v1.0"	"Hoxb9_Hoxb13"	68057	""	"Eutheria"	68.057	"Other Placentalia"
"Vaquita"	"psinus_gene_ensembl"	"Vaquita genes (mPhoSin1.pri)"	"mPhoSin1.pri"	"Hoxb1_Hoxb9"	87738	""	"Eutheria"	87.738	"Other Placentalia"
"Vaquita"	"psinus_gene_ensembl"	"Vaquita genes (mPhoSin1.pri)"	"mPhoSin1.pri"	"Hoxb9_Hoxb13"	75751	""	"Eutheria"	75.751	"Other Placentalia"
"Vervet-AGM"	"csabaeus_gene_ensembl"	"Vervet-AGM genes (ChlSab1.1)"	"ChlSab1.1"	"Hoxb1_Hoxb9"	92590	""	"Primates"	92.59	"Other Primates"
"Vervet-AGM"	"csabaeus_gene_ensembl"	"Vervet-AGM genes (ChlSab1.1)"	"ChlSab1.1"	"Hoxb9_Hoxb13"	98516	""	"Primates"	98.516	"Other Primates"
"White-tufted-ear marmoset"	"cjacchus_gene_ensembl"	"White-tufted-ear marmoset genes (mCalJac1.pat.X)"	"mCalJac1.pat.X"	"Hoxb1_Hoxb9"	91739	""	"Primates"	91.739	"Other Primates"
"White-tufted-ear marmoset"	"cjacchus_gene_ensembl"	"White-tufted-ear marmoset genes (mCalJac1.pat.X)"	"mCalJac1.pat.X"	"Hoxb9_Hoxb13"	90588	""	"Primates"	90.588	"Other Primates"
"Wild yak"	"bmutus_gene_ensembl"	"Wild yak genes (BosGru_v2.0)"	"BosGru_v2.0"	"Hoxb1_Hoxb9"	89800	""	"Eutheria"	89.8	"Other Placentalia"
"Wild yak"	"bmutus_gene_ensembl"	"Wild yak genes (BosGru_v2.0)"	"BosGru_v2.0"	"Hoxb9_Hoxb13"	73428	""	"Eutheria"	73.428	"Other Placentalia"
"Yarkand deer"	"chyarkandensis_gene_ensembl"	"Yarkand deer genes (CEY_v1)"	"CEY_v1"	"Hoxb1_Hoxb9"	87445	""	"Eutheria"	87.445	"Other Placentalia"
"Yarkand deer"	"chyarkandensis_gene_ensembl"	"Yarkand deer genes (CEY_v1)"	"CEY_v1"	"Hoxb9_Hoxb13"	69755	""	"Eutheria"	69.755	"Other Placentalia"
"Yellowtail amberjack"	"sldorsalis_gene_ensembl"	"Yellowtail amberjack genes (Sedor1)"	"Sedor1"	"Hoxb1_Hoxb9"	152784	"ignored_PEQF01098796.1_genes__"	"Actinopterygii"	152.784	"Actinopterygii"
"Yellowtail amberjack"	"sldorsalis_gene_ensembl"	"Yellowtail amberjack genes (Sedor1)"	"Sedor1"	"Hoxb9_Hoxb13"	59028	""	"Actinopterygii"	59.028	"Actinopterygii"
"Zebra mbuna"	"mzebra_gene_ensembl"	"Zebra mbuna genes (M_zebra_UMD2a)"	"M_zebra_UMD2a"	"Hoxb1_Hoxb9"	139953.5	"ignored_LG8_genes__multiple_extremities_this_is_average"	"Actinopterygii"	139.9535	"Actinopterygii"
"Zebra mbuna"	"mzebra_gene_ensembl"	"Zebra mbuna genes (M_zebra_UMD2a)"	"M_zebra_UMD2a"	"Hoxb9_Hoxb13"	98202	""	"Actinopterygii"	98.202	"Actinopterygii"
"Zebrafish"	"drerio_gene_ensembl"	"Zebrafish genes (GRCz11)"	"GRCz11"	"Hoxb1_Hoxb9"	86462	"ignored_12_genes__"	"Actinopterygii"	86.462	"Actinopterygii"
"Zebrafish"	"drerio_gene_ensembl"	"Zebrafish genes (GRCz11)"	"GRCz11"	"Hoxb9_Hoxb13"	21517	""	"Actinopterygii"	21.517	"Actinopterygii"
"Zig-zag eel"	"marmatus_gene_ensembl"	"Zig-zag eel genes (fMasArm1.2)"	"fMasArm1.2"	"Hoxb1_Hoxb9"	136769	"ignored_19_genes__"	"Actinopterygii"	136.769	"Actinopterygii"
"Zig-zag eel"	"marmatus_gene_ensembl"	"Zig-zag eel genes (fMasArm1.2)"	"fMasArm1.2"	"Hoxb9_Hoxb13"	43756	""	"Actinopterygii"	43.756	"Actinopterygii"
