"dataset"	"description"	"version"	"genes_considered"	"intergenic_distance"	"comment"
"sharrisii_gene_ensembl"	"Tasmanian devil genes (mSarHar1.11)"	"mSarHar1.11"	"Hoxb1_Hoxb9"	"99456"	""
"sharrisii_gene_ensembl"	"Tasmanian devil genes (mSarHar1.11)"	"mSarHar1.11"	"Hoxb9_Hoxb13"	"94294"	""
"sldorsalis_gene_ensembl"	"Yellowtail amberjack genes (Sedor1)"	"Sedor1"	"Hoxb1_Hoxb9"	"152784"	"ignored_PEQF01098796.1_genes__"
"sldorsalis_gene_ensembl"	"Yellowtail amberjack genes (Sedor1)"	"Sedor1"	"Hoxb9_Hoxb13"	"59028"	""
"slucioperca_gene_ensembl"	"Pike-perch genes (SLUC_FBN_1)"	"SLUC_FBN_1"	"Hoxb1_Hoxb9"	"165934.5"	"ignored_VTTG01000003.1_genes__multiple_extremities_this_is_average"
"slucioperca_gene_ensembl"	"Pike-perch genes (SLUC_FBN_1)"	"SLUC_FBN_1"	"Hoxb9_Hoxb13"	"63809"	""
"smaximus_gene_ensembl"	"Turbot genes (ASM1334776v1)"	"ASM1334776v1"	"Hoxb1_Hoxb9"	"141982"	"ignored_18_genes__"
"smaximus_gene_ensembl"	"Turbot genes (ASM1334776v1)"	"ASM1334776v1"	"Hoxb9_Hoxb13"	"51589"	""
"smerianae_gene_ensembl"	"Argentine black and white tegu genes (HLtupMer3)"	"HLtupMer3"	"Hoxb1_Hoxb9"	"139968"	""
"smerianae_gene_ensembl"	"Argentine black and white tegu genes (HLtupMer3)"	"HLtupMer3"	"Hoxb9_Hoxb13"	"67743.5999999996"	"multiple_extremities_this_is_average"
"spartitus_gene_ensembl"	"Bicolor damselfish genes (Stegastes_partitus-1.0.2)"	"Stegastes_partitus-1.0.2"	"Hoxb1_Hoxb9"	"150287.5"	"ignored_KK580178.1_genes__multiple_extremities_this_is_average"
"spartitus_gene_ensembl"	"Bicolor damselfish genes (Stegastes_partitus-1.0.2)"	"Stegastes_partitus-1.0.2"	"Hoxb9_Hoxb13"	"57975"	""
"spunctatus_gene_ensembl"	"Tuatara genes (ASM311381v1)"	"ASM311381v1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"spunctatus_gene_ensembl"	"Tuatara genes (ASM311381v1)"	"ASM311381v1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"ssalar_gene_ensembl"	"Atlantic salmon genes (Ssal_v3.1)"	"Ssal_v3.1"	"Hoxb1_Hoxb9"	NA	"two_genes_on_more_than_two_different_chr"
"ssalar_gene_ensembl"	"Atlantic salmon genes (Ssal_v3.1)"	"Ssal_v3.1"	"Hoxb9_Hoxb13"	"28133"	"ignored_6_genes__"
"ssbamei_gene_ensembl"	"Pig - Bamei genes (Bamei_pig_v1)"	"Bamei_pig_v1"	"Hoxb1_Hoxb9"	"90478"	""
"ssbamei_gene_ensembl"	"Pig - Bamei genes (Bamei_pig_v1)"	"Bamei_pig_v1"	"Hoxb9_Hoxb13"	"69276"	""
"ssberkshire_gene_ensembl"	"Pig - Berkshire genes (Berkshire_pig_v1)"	"Berkshire_pig_v1"	"Hoxb1_Hoxb9"	"87016"	""
"ssberkshire_gene_ensembl"	"Pig - Berkshire genes (Berkshire_pig_v1)"	"Berkshire_pig_v1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"sscrofa_gene_ensembl"	"Pig genes (Sscrofa11.1)"	"Sscrofa11.1"	"Hoxb1_Hoxb9"	"89147"	""
"sscrofa_gene_ensembl"	"Pig genes (Sscrofa11.1)"	"Sscrofa11.1"	"Hoxb9_Hoxb13"	"67354"	""
"sshampshire_gene_ensembl"	"Pig - Hampshire genes (Hampshire_pig_v1)"	"Hampshire_pig_v1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"sshampshire_gene_ensembl"	"Pig - Hampshire genes (Hampshire_pig_v1)"	"Hampshire_pig_v1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"ssjinhua_gene_ensembl"	"Pig - Jinhua genes (Jinhua_pig_v1)"	"Jinhua_pig_v1"	"Hoxb1_Hoxb9"	"90369"	""
"ssjinhua_gene_ensembl"	"Pig - Jinhua genes (Jinhua_pig_v1)"	"Jinhua_pig_v1"	"Hoxb9_Hoxb13"	"68140"	""
"sslandrace_gene_ensembl"	"Pig - Landrace genes (Landrace_pig_v1)"	"Landrace_pig_v1"	"Hoxb1_Hoxb9"	"86811"	""
"sslandrace_gene_ensembl"	"Pig - Landrace genes (Landrace_pig_v1)"	"Landrace_pig_v1"	"Hoxb9_Hoxb13"	"68282"	""
"sslargewhite_gene_ensembl"	"Pig - Largewhite genes (Large_White_v1)"	"Large_White_v1"	"Hoxb1_Hoxb9"	"90090"	""
"sslargewhite_gene_ensembl"	"Pig - Largewhite genes (Large_White_v1)"	"Large_White_v1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"ssmeishan_gene_ensembl"	"Pig - Meishan genes (Meishan_pig_v1)"	"Meishan_pig_v1"	"Hoxb1_Hoxb9"	"90316"	""
"ssmeishan_gene_ensembl"	"Pig - Meishan genes (Meishan_pig_v1)"	"Meishan_pig_v1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"sspietrain_gene_ensembl"	"Pig - Pietrain genes (Pietrain_pig_v1)"	"Pietrain_pig_v1"	"Hoxb1_Hoxb9"	"86236"	""
"sspietrain_gene_ensembl"	"Pig - Pietrain genes (Pietrain_pig_v1)"	"Pietrain_pig_v1"	"Hoxb9_Hoxb13"	"68321"	""
"ssrongchang_gene_ensembl"	"Pig - Rongchang genes (Rongchang_pig_v1)"	"Rongchang_pig_v1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"ssrongchang_gene_ensembl"	"Pig - Rongchang genes (Rongchang_pig_v1)"	"Rongchang_pig_v1"	"Hoxb9_Hoxb13"	"68215"	""
"sstibetan_gene_ensembl"	"Pig - Tibetan genes (Tibetan_Pig_v2)"	"Tibetan_Pig_v2"	"Hoxb1_Hoxb9"	"95176"	""
"sstibetan_gene_ensembl"	"Pig - Tibetan genes (Tibetan_Pig_v2)"	"Tibetan_Pig_v2"	"Hoxb9_Hoxb13"	"70784"	""
"ssusmarc_gene_ensembl"	"Pig USMARC genes (USMARCv1.0)"	"USMARCv1.0"	"Hoxb1_Hoxb9"	"86861"	""
"ssusmarc_gene_ensembl"	"Pig USMARC genes (USMARCv1.0)"	"USMARCv1.0"	"Hoxb9_Hoxb13"	"68047"	""
"sswuzhishan_gene_ensembl"	"Pig - Wuzhishan genes (minipig_v1.0)"	"minipig_v1.0"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"sswuzhishan_gene_ensembl"	"Pig - Wuzhishan genes (minipig_v1.0)"	"minipig_v1.0"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"strutta_gene_ensembl"	"Brown trout genes (fSalTru1.1)"	"fSalTru1.1"	"Hoxb1_Hoxb9"	"100228"	"ignored_2_and_24_and_32_genes__"
"strutta_gene_ensembl"	"Brown trout genes (fSalTru1.1)"	"fSalTru1.1"	"Hoxb9_Hoxb13"	"34961"	"ignored_32_genes__"
"svulgaris_gene_ensembl"	"Eurasian red squirrel genes (mSciVul1.1)"	"mSciVul1.1"	"Hoxb1_Hoxb9"	"87564"	""
"svulgaris_gene_ensembl"	"Eurasian red squirrel genes (mSciVul1.1)"	"mSciVul1.1"	"Hoxb9_Hoxb13"	"70289.5"	"multiple_extremities_this_is_average"
"tbelangeri_gene_ensembl"	"Tree Shrew genes (tupBel1)"	"tupBel1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"tbelangeri_gene_ensembl"	"Tree Shrew genes (tupBel1)"	"tupBel1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"tctriunguis_gene_ensembl"	"Three-toed box turtle genes (T_m_triunguis-2.0)"	"T_m_triunguis-2.0"	"Hoxb1_Hoxb9"	"92108"	""
"tctriunguis_gene_ensembl"	"Three-toed box turtle genes (T_m_triunguis-2.0)"	"T_m_triunguis-2.0"	"Hoxb9_Hoxb13"	"64024"	""
"tguttata_gene_ensembl"	"Zebra finch genes (bTaeGut1_v1.p)"	"bTaeGut1_v1.p"	"Hoxb1_Hoxb9"	"118881"	""
"tguttata_gene_ensembl"	"Zebra finch genes (bTaeGut1_v1.p)"	"bTaeGut1_v1.p"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"tnigroviridis_gene_ensembl"	"Tetraodon genes (TETRAODON 8.0)"	"TETRAODON 8.0"	"Hoxb1_Hoxb9"	"108295"	"ignored_2_genes__"
"tnigroviridis_gene_ensembl"	"Tetraodon genes (TETRAODON 8.0)"	"TETRAODON 8.0"	"Hoxb9_Hoxb13"	"29912"	""
"trubripes_gene_ensembl"	"Fugu genes (fTakRub1.2)"	"fTakRub1.2"	"Hoxb1_Hoxb9"	"117376"	""
"trubripes_gene_ensembl"	"Fugu genes (fTakRub1.2)"	"fTakRub1.2"	"Hoxb9_Hoxb13"	"26711.5"	"multiple_extremities_this_is_average"
"ttruncatus_gene_ensembl"	"Dolphin genes (turTru1)"	"turTru1"	"Hoxb1_Hoxb9"	"94708"	""
"ttruncatus_gene_ensembl"	"Dolphin genes (turTru1)"	"turTru1"	"Hoxb9_Hoxb13"	NA	"two_genes_on_two_different_chr"
"uamericanus_gene_ensembl"	"American black bear genes (ASM334442v1)"	"ASM334442v1"	"Hoxb1_Hoxb9"	NA	"two_genes_on_two_different_chr"
"uamericanus_gene_ensembl"	"American black bear genes (ASM334442v1)"	"ASM334442v1"	"Hoxb9_Hoxb13"	"74274"	""
"umaritimus_gene_ensembl"	"Polar bear genes (UrsMar_1.0)"	"UrsMar_1.0"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"umaritimus_gene_ensembl"	"Polar bear genes (UrsMar_1.0)"	"UrsMar_1.0"	"Hoxb9_Hoxb13"	NA	"no_homologous_gene_found"
"uparryii_gene_ensembl"	"Arctic ground squirrel genes (ASM342692v1)"	"ASM342692v1"	"Hoxb1_Hoxb9"	"89254"	""
"uparryii_gene_ensembl"	"Arctic ground squirrel genes (ASM342692v1)"	"ASM342692v1"	"Hoxb9_Hoxb13"	"90111"	""
"vpacos_gene_ensembl"	"Alpaca genes (vicPac1)"	"vicPac1"	"Hoxb1_Hoxb9"	NA	"no_homologous_gene_found"
"vpacos_gene_ensembl"	"Alpaca genes (vicPac1)"	"vicPac1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"vursinus_gene_ensembl"	"Common wombat genes (bare-nosed_wombat_genome_assembly)"	"bare-nosed_wombat_genome_assembly"	"Hoxb1_Hoxb9"	"98750"	""
"vursinus_gene_ensembl"	"Common wombat genes (bare-nosed_wombat_genome_assembly)"	"bare-nosed_wombat_genome_assembly"	"Hoxb9_Hoxb13"	"99142"	""
"vvulpes_gene_ensembl"	"Red fox genes (VulVul2.2)"	"VulVul2.2"	"Hoxb1_Hoxb9"	"90345"	""
"vvulpes_gene_ensembl"	"Red fox genes (VulVul2.2)"	"VulVul2.2"	"Hoxb9_Hoxb13"	"68827"	""
"xcouchianus_gene_ensembl"	"Monterrey platyfish genes (Xiphophorus_couchianus-4.0.1)"	"Xiphophorus_couchianus-4.0.1"	"Hoxb1_Hoxb9"	NA	"two_genes_on_two_different_chr"
"xcouchianus_gene_ensembl"	"Monterrey platyfish genes (Xiphophorus_couchianus-4.0.1)"	"Xiphophorus_couchianus-4.0.1"	"Hoxb9_Hoxb13"	"32628"	""
"xmaculatus_gene_ensembl"	"Platyfish genes (X_maculatus-5.0-male)"	"X_maculatus-5.0-male"	"Hoxb1_Hoxb9"	"127937"	"ignored_10_genes__"
"xmaculatus_gene_ensembl"	"Platyfish genes (X_maculatus-5.0-male)"	"X_maculatus-5.0-male"	"Hoxb9_Hoxb13"	"24460"	""
"xtropicalis_gene_ensembl"	"Tropical clawed frog genes (UCB_Xtro_10.0)"	"UCB_Xtro_10.0"	"Hoxb1_Hoxb9"	"94998"	""
"xtropicalis_gene_ensembl"	"Tropical clawed frog genes (UCB_Xtro_10.0)"	"UCB_Xtro_10.0"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
